Time [sec]	T [mK]	T_loc/T_c	T_mc/Tc
0.0	0.6745870141669457	0.6659299251401242	0.6429099429659628
4.0	0.6745823786836809	0.6659253491447985	0.6429173665584009
9.0	0.6737088564138958	0.665063036933757	0.6429266467782111
13.0	0.6736972562578103	0.6650515856444328	0.6429340715374285
17.0	0.673014332656976	0.6643774261174492	0.6429414968151604
21.0	0.671810128469815	0.6631886756858985	0.6429489226113737
26.0	0.6735355702296602	0.6648919745603753	0.6429582055857037
30.0	0.6721522551379167	0.6635264117847154	0.6429656325483778
34.0	0.6742260223234098	0.6655735659658537	0.642973060029425
38.0	0.6731863779023115	0.6645472634771091	0.6429804880288118
42.0	0.6744088474717955	0.6657540448882484	0.6429879165465051
47.0	0.6729919614494975	0.6643553420034527	0.6429972029224394
51.0	0.6723225666964936	0.6636945377063116	0.6430046326062003
55.0	0.6730050233054499	0.6643682362344027	0.6430120628081595
59.0	0.6740543614139369	0.6654041080098094	0.6430194935282836
63.0	0.6735231371455939	0.6648797010321756	0.6430269247665392
68.0	0.6724853230882673	0.6638552054178355	0.6430362145429307
72.0	0.6728249729085292	0.6641904964546191	0.6430436469468608
76.0	0.672498762041414	0.6638684719066279	0.6430510798688143
80.0	0.6731618090095708	0.6645230098811163	0.6430585133087579
85.0	0.6733617614929699	0.6647203963405429	0.6430678058370601
89.0	0.6736830360962358	0.6650375479725922	0.6430752404423598
93.0	0.6726679083922136	0.6640354475737549	0.6430826755655412
97.0	0.672324852316251	0.6636967939943249	0.6430901112065713
102.0	0.6721555284561873	0.6635296430959402	0.6430994064860328
106.0	0.6721173968453513	0.6634920008345029	0.6431068432921005
110.0	0.6718111662698902	0.6631897001677101	0.6431142806159087
114.0	0.672669803290546	0.6640373181545371	0.6431217184574239
118.0	0.6731863779023115	0.6645472634771091	0.6431291568166129
123.0	0.6731820153872832	0.6645429569469726	0.6431384554935272
127.0	0.6726524507434988	0.6640201882956553	0.6431458950173605
131.0	0.6723271876217041	0.6636990993304088	0.6431533350587596
135.0	0.6718020248431458	0.6631806760544381	0.6431607756176908
139.0	0.6731836701017073	0.6645445904261672	0.643168216694121
144.0	0.6712839805247768	0.6626692798862556	0.6431775187673412
148.0	0.6716427580327036	0.6630234531418595	0.6431849610080225
152.0	0.6718111167635925	0.663189651296735	0.6431924037660945
156.0	0.6721369813353704	0.6635113339934555	0.6431998470415241
161.0	0.6724944812688136	0.6638642460699049	0.6432091518632944
165.0	0.6716268755833426	0.6630077745146521	0.6432165963026567
169.0	0.6735181038905012	0.6648747323696952	0.6432240412592682
173.0	0.6730158344537358	0.6643789086413977	0.6432314867330958
177.0	0.6716394528909859	0.6630201904155834	0.643238932724106
182.0	0.6738810624160578	0.665233032987224	0.6432482409401064
186.0	0.6738810624160578	0.665233032987224	0.6432556880946559
190.0	0.6723263926132859	0.6636983145244678	0.6432631357662801
194.0	0.6713016244852952	0.6626866974188502	0.6432705839549454
199.0	0.6721496268703504	0.6635238172461505	0.6432798949178157
203.0	0.6728437066983588	0.6642089898305615	0.643287344269702
207.0	0.6714306854762526	0.6628141021483245	0.6432947941385212
211.0	0.6735206706725876	0.6648772662118339	0.6433022445242402
216.0	0.6742342411725986	0.6655816793411635	0.6433115582332285
220.0	0.6724957255185018	0.6638654743519268	0.6433190097818501
224.0	0.6744078306935535	0.6657530411584931	0.6433264618472633
228.0	0.674035477389225	0.6653854663269744	0.6433339144294344
233.0	0.6723110903874385	0.6636832086746679	0.6433432308837892
237.0	0.6745836519635304	0.6659266060844329	0.6433506846285446
241.0	0.6719749732653781	0.6633514050003734	0.6433581388899502
245.0	0.6735207210647332	0.6648773159572885	0.6433655936679724
